ID,SurveyLanguage,GeoLocation,TimeToComplete,Consent,SituationNormal,Age,Gender,Student,Education,HHSize,HHRooms,RationCard,Radio,TV,Laptop,Toilet,Fridge,AC,Vehicle,LiveInPune,Ward,Source,RoundOne,RoundTwo,EconomyNormal,Medical,Earning,Unemployment,PercentUnemployed,WFHAbility,IncomeChange,IncomePercent,PandemicEnd,ImportanceTesting,SelfPositive,SelfSymptoms,SelfLikelihood,WaitSymptoms,OtherWaitSymptoms,HHPositive,NonHHPositive,CloseDeath,PuneLikelihood,TrueNumber,ImportanceVaccine,Vaccinated,SelfBooster,KnowVaccinated,PuneVaccinated,VirusAfterVaccine,AfterVaccineLikelihood,PunePercentUnvaccinated,PuneVaccine,SelfFear,FearDecay,PsychologyNormal,SituationStatic,SituationDynamic,ThirdWaveEnd,ThirdWavePeakMonth,ThirdWavePeakDate,ThirdWavePeakCases,FourthWave,TotalWaves,SelfInformation,OtherInformation,ImportanceMaskWearing,SelfMaskUsage,OtherMaskUsage,MaskNotNeeded,ImportanceSocialDistancing,PeopleMet,OtherMet,ImportanceLockdown,LockdownOpinions,LengthLockdown,LockdownNotNeeded,TimesHomeLeft,OtherTimesHomeLeft,TimesCrowdedPlace,OtherTimesCrowdedPlace,SelfVigilance,OtherVigilance,Songs,OtherSongs,PeopleKnown,OtherPeopleKnown,Runs,Weight,OtherWeight,Languages,LanguagesWorld,OtherLanguagesWorld,RoomDensity,SuperiorityWaitSymptom,SuperiorityMaskUsage,SuperiorityInformation,SuperiorityMet,SuperiorityTimesHomeLeft,SuperiorityTimesCrowdedPlace,SuperiorityVigilance,SuperioritySongs,SuperiorityPeopleKnown,SuperiorityWeight,SuperiorityLanguagesWorld
13326195559.0,1.0,,6497.0,1.0,1.0,37.0,2.0,1.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,5.0,8.0,10.0,2.0,2.0,1.0,5.0,8.0,8.0,2.0,1.0,1.0,9.0,4000.0,2.0,2.0,20.0,1.0,10.0,1.0,9.0,4.0,10.0,3.0,9.0,19.0,3.0,2.0,9.0,2.0,14.0,2000.0,1.0,1.0,2.0,2.0,2.0,9.0,6.0,20.0,2.0,52.0,11.0,4.0,1.0,1.0,19.0,5.0,9.0,3.0,5.0,3.0,3.0,5.0,3.0,10.0,15.0,200.0,100.0,4.0,26.0,10000.0,4.0,0.8,0.0,3.0,0.0,41.0,-4.0,-2.0,0.0,2.0,-5.0,96.0,9996.0
13309733674.0,1.0,,504.0,1.0,5.0,66.0,2.0,2.0,6.0,9.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,2.0,2.0,15.0,2.0,2.0,2.0,4.0,3.0,3.0,7.0,5.0,1.0,1.0,3.0,9.0,4.0,6.0,1.0,1.0,1.0,8.0,20000.0,1.0,2.0,12.0,1.0,10.0,1.0,11.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-2.0,,,,,,,,,,
13295421876.0,1.0,,770.0,1.0,3.0,40.0,2.0,2.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,12.0,2.0,2.0,2.0,4.0,1.0,4.0,6.0,3.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,10.0,2000.0,1.0,2.0,10.0,1.0,9.0,2.0,2.0,3.0,9.0,3.0,1.0,12.0,3.0,1.0,5.0,1.0,7.0,15000.0,1.0,1.0,1.0,3.0,1.0,10.0,4.0,12.0,3.0,7.0,11.0,4.0,2.0,1.0,12.0,4.0,11.0,2.0,4.0,1.0,4.0,5.0,3.0,30.0,30.0,170.0,200.0,1.0,70.0,1000.0,2.0,0.75,1.0,6.0,-2.0,-4.0,-7.0,-2.0,-3.0,2.0,0.0,199.0,998.0
13294288486.0,2.0,,22.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13294159422.0,1.0,,913.0,1.0,7.0,57.0,2.0,2.0,6.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,19.0,2.0,2.0,2.0,5.0,2.0,4.0,5.0,7.0,1.0,2.0,3.0,7.0,1.0,3.0,1.0,1.0,1.0,7.0,25000.0,1.0,2.0,6.0,1.0,9.0,1.0,6.0,2.0,13.0,3.0,4.0,7.0,3.0,1.0,8.0,1.0,15.0,10000.0,1.0,1.0,1.0,3.0,1.0,11.0,10.0,13.0,2.0,6.0,11.0,3.0,2.0,9.0,7.0,6.0,6.0,4.0,6.0,1.0,3.0,6.0,2.0,1500.0,100.0,200.0,450.0,3.0,400.0,7000.0,2.0,1.6666666666666667,-2.0,1.0,-2.0,-5.0,0.0,-2.0,-2.0,4.0,1400.0,447.0,6998.0
13294157309.0,1.0,,508.0,1.0,11.0,63.0,2.0,2.0,4.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,14.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,11.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,20000.0,1.0,2.0,5.0,1.0,8.0,1.0,6.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,
13294002457.0,1.0,"17.1862248,74.4352558",523.0,1.0,20.0,27.0,2.0,2.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,5.0,3.0,3.0,7.0,20.0,1.0,1.0,3.0,12.0,2.0,3.0,1.0,1.0,1.0,9.0,50000.0,1.0,2.0,7.0,1.0,10.0,1.0,6.0,1.0,6.0,3.0,4.0,14.0,2.0,2.0,8.0,2.0,15.0,2000.0,9.0,2.0,1.0,1.0,1.0,9.0,6.0,6.0,1.0,52.0,52.0,2.0,3.0,16.0,6.0,22.0,22.0,22.0,22.0,2.0,3.0,6.0,2.0,25.0,20.0,1000.0,300.0,4.0,500.0,5000.0,4.0,0.8,-1.0,3.0,0.0,0.0,0.0,0.0,-1.0,4.0,5.0,296.0,4996.0
13293862183.0,1.0,"18.5573816,73.8058974",1564.0,1.0,20.0,66.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,2.0,2.0,20.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,20.0,2.0,3.0,1.0,2.0,8.0,17.0,1.0,1.0,1.0,6.0,10000.0,3.0,2.0,6.0,1.0,6.0,1.0,6.0,4.0,13.0,3.0,16.0,13.0,2.0,2.0,11.0,3.0,23.0,10800.0,13.0,2.0,2.0,2.0,2.0,8.0,6.0,17.0,2.0,10.0,11.0,4.0,3.0,1.0,1.0,6.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,100.0,70.0,180.0,270.0,4.0,999.0,10000.0,2.0,1.0,-9.0,2.0,0.0,-1.0,2.0,2.0,-1.0,1.0,30.0,266.0,9998.0
13292547036.0,2.0,,99.0,1.0,14.0,29.0,2.0,2.0,6.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,
13291908172.0,2.0,,531.0,1.0,20.0,35.0,1.0,2.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,6.0,20.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,6.0,25000.0,1.0,2.0,8.0,1.0,10.0,1.0,6.0,3.0,7.0,3.0,16.0,20.0,3.0,2.0,8.0,3.0,28.0,10000.0,14.0,9.0,2.0,2.0,1.0,11.0,9.0,13.0,1.0,51.0,51.0,4.0,3.0,8.0,1.0,8.0,3.0,4.0,5.0,2.0,3.0,,,,,,,,,,,1.6666666666666667,-1.0,2.0,0.0,0.0,5.0,-1.0,-1.0,,,,
