year,month,observed_deaths,simple_average_expected,simple_average_lower,simple_average_upper,farrington_expected,farrington_lower,farrington_upper,poisson_expected,poisson_lower,poisson_upper
2020,mar,2492,2437,2193,2680,2553,2553,2817,2635,1971,3299
2020,apr,1712,2308,2057,2560,2459,2459,2693,2526,1875,3176
2020,may,2493,2276,2093,2460,2499,2499,2929,2459,1818,3101
2020,jun,2667,2380,969,3791,2233,2233,3143,2491,1846,3137
2020,jul,3325,2233,1050,3416,2315,2315,3412,2621,1959,3283
2020,aug,3775,2548,1812,3283,2505,2505,3626,2789,2106,3472
2020,sep,4047,2803,2140,3466,2635,2635,3258,2898,2201,3594
2020,oct,4426,2623,2204,3042,2659,2659,3055,2906,2209,3604
2020,nov,4393,2555,2174,2935,2570,2570,3022,2860,2168,3551
2020,dec,3691,2477,1963,2991,2629,2629,3159,2823,2136,3510
2021,jan,3325,2760,2291,3229,2565,2565,2981,2808,2122,3493
2021,feb,2689,2353,1980,2725,2522,2522,2950,2775,2094,3457
2021,mar,3533,2437,2193,2680,2553,2553,2817,2700,2028,3372
2021,apr,2500,2308,2057,2560,2459,2459,2693,2587,1929,3245
2021,may,6002,2276,2093,2460,2499,2499,2929,2519,1870,3168
2021,jun,3342,2380,969,3791,2233,2233,3143,2552,1898,3205
2021,jul,3382,2233,1050,3416,2315,2315,3412,2684,2014,3355
2021,aug,3739,2548,1812,3283,2505,2505,3626,2857,2165,3548
2021,sep,3443,2803,2140,3466,2635,2635,3258,2968,2263,3672
2021,oct,3361,2623,2204,3042,2659,2659,3055,2976,2271,3682
2021,nov,3072,2555,2174,2935,2570,2570,3022,2928,2228,3629
2021,dec,2880,2477,1963,2991,2629,2629,3159,2891,2195,3586
