year,month,date,population,outcome
2014,jan,2014-01-01,4516833,2388
2014,feb,2014-02-01,4527467,2136
2014,mar,2014-03-01,4538100,2290
2014,apr,2014-04-01,4548733,2169
2014,may,2014-05-01,4559367,2186
2014,jun,2014-06-01,4570000,2038
2014,jul,2014-07-01,4580633,2249
2014,aug,2014-08-01,4591267,2493
2014,sep,2014-09-01,4601900,2598
2014,oct,2014-10-01,4612533,2359
2014,nov,2014-11-01,4623167,2243
2014,dec,2014-12-01,4633800,2581
2015,jan,2015-01-01,4644433,2663
2015,feb,2015-02-01,4655067,2233
2015,mar,2015-03-01,4665700,2433
2015,apr,2015-04-01,4676333,2165
2015,may,2015-05-01,4686967,2179
2015,jun,2015-06-01,4697600,2010
2015,jul,2015-07-01,4708233,2141
2015,aug,2015-08-01,4718867,2342
2015,sep,2015-09-01,4729500,2414
2015,oct,2015-10-01,4740133,2462
2015,nov,2015-11-01,4750767,2497
2015,dec,2015-12-01,4761400,2517
2016,jan,2016-01-01,4772033,2727
2016,feb,2016-02-01,4782667,2410
2016,mar,2016-03-01,4793300,2325
2016,apr,2016-04-01,4803933,2251
2016,may,2016-05-01,4814567,2303
2016,jun,2016-06-01,4825200,2039
2016,jul,2016-07-01,4835833,2761
2016,aug,2016-08-01,4846467,3151
2016,sep,2016-09-01,4857100,2796
2016,oct,2016-10-01,4867733,2779
2016,nov,2016-11-01,4878367,2556
2016,dec,2016-12-01,4889000,2618
2017,jan,2017-01-01,4899633,2773
2017,feb,2017-02-01,4910267,2204
2017,mar,2017-03-01,4920900,2552
2017,apr,2017-04-01,4931533,2408
2017,may,2017-05-01,4942167,2310
2017,jun,2017-06-01,4952800,2160
2017,jul,2017-07-01,4963433,1109
2017,aug,2017-08-01,4974067,2047
2017,sep,2017-09-01,4984700,2605
2017,oct,2017-10-01,4995333,2808
2017,nov,2017-11-01,5005967,2655
2017,dec,2017-12-01,5016600,2456
2018,jan,2018-01-01,5027233,2909
2018,feb,2018-02-01,5037867,2605
2018,mar,2018-03-01,5048500,2608
2018,apr,2018-04-01,5059133,2438
2018,may,2018-05-01,5069767,2430
2018,jun,2018-06-01,5080400,2193
2018,jul,2018-07-01,5091033,2419
2018,aug,2018-08-01,5101667,2753
2018,sep,2018-09-01,5112300,3103
2018,oct,2018-10-01,5122933,2853
2018,nov,2018-11-01,5133567,2542
2018,dec,2018-12-01,5144200,2717
2019,jan,2019-01-01,5154833,3100
2019,feb,2019-02-01,5165467,2527
2019,mar,2019-03-01,5176100,2411
2019,apr,2019-04-01,5186733,2419
2019,may,2019-05-01,5197367,2250
2019,jun,2019-06-01,5208000,3842
2019,jul,2019-07-01,5218633,2718
2019,aug,2019-08-01,5229267,2501
2019,sep,2019-09-01,5239900,3302
2019,oct,2019-10-01,5250533,2476
2019,nov,2019-11-01,5261167,2834
2019,dec,2019-12-01,5271800,1973
